open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1708365600,52151.72,52200.0,51913.07,51926.61,1131.63654,1708369199,58937552.045399,59337,580.27151,30220945.1021532,0
1708369200,51926.62,51933.79,51781.04,51820.61,1085.7192,1708372799,56288921.9985579,52828,539.47308,27967994.1507794,0
1708372800,51820.61,51933.2,51761.1,51798.99,834.88916,1708376399,43285070.178727,49013,452.90496,23482519.6451627,0
1708376400,51799.0,51920.73,51705.11,51904.42,995.05661,1708379999,51566557.0406266,62350,516.17894,26750697.6455189,0
1708380000,51904.41,52110.0,51868.01,51936.42,943.17631,1708383599,49034461.5347249,55822,484.17109,25169671.1862253,0
1708383600,51936.41,52013.11,51711.1,51774.73,1005.35183,1708387199,52123194.042596,51087,481.75422,24976976.482756,0
1708387200,51774.74,51832.01,51500.0,51641.82,1720.30986,1708390799,88918490.0560085,80052,752.14787,38876809.3074983,0
1708390800,51641.83,51709.99,51311.0,51631.15,1907.08974,1708394399,98237836.0877339,79582,936.80317,48257111.2808391,0
1708394400,51631.14,51761.1,51550.0,51711.09,923.71736,1708397999,47707943.2220875,47633,498.98228,25771428.7919294,0
1708398000,51711.09,51797.0,51574.0,51580.23,712.89149,1708401599,36835659.7060287,47259,385.46217,19916269.9948343,0
1708401600,51580.23,51818.0,51510.0,51788.01,928.35852,1708405199,48003706.3332964,55508,509.93663,26366334.7435184,0
1708405200,51788.0,51984.03,51754.87,51909.1,921.76247,1708408799,47834703.1504281,50098,489.83849,25418346.296796,0
1708408800,51909.1,52039.91,51899.99,51948.06,772.89817,1708412399,40167580.5038497,46344,409.80112,21296897.0379679,0
1708412400,51948.06,51974.58,51801.0,51839.28,1095.95743,1708415999,56869096.2903048,54988,489.66628,25406948.336497,0
1708416000,51839.28,51883.22,51586.22,51776.8,1180.92112,1708419599,61118646.4976727,73072,562.50933,29111275.8518536,0
1708419600,51776.8,51825.41,51560.0,51761.33,1812.05961,1708423199,93636556.3395731,84253,868.7879,44889669.2247818,0
1708423200,51761.34,52120.0,51761.33,52119.99,1829.16437,1708426799,95093836.0779211,90031,987.88717,51356351.7254062,0
1708426800,52120.0,52380.0,52119.99,52286.8,2623.99208,1708430399,137204610.728777,111750,1324.45553,69242246.21832,0
1708430400,52286.8,52395.0,52125.92,52178.92,1548.12369,1708433999,80933981.9309842,75007,714.70049,37364149.7900659,0
1708434000,52178.93,52985.0,52141.68,52840.13,4731.24347,1708437599,249018625.6880994,235290,2588.01587,136203497.6103099,0
1708437600,52840.14,52864.22,51769.23,52048.74,6123.11806,1708441199,319390646.62373567,173538,2981.95707,155542470.8607974,0
1708441200,52048.74,52086.56,51340.0,51680.0,4900.14394,1708444799,253199920.0091583,139322,2373.25882,122632206.3991062,0
1708444800,51679.99,51798.98,51370.0,51396.33,2355.64595,1708448399,121590597.2563322,77593,1140.30091,58875748.4934454,0
1708448400,51396.34,51396.34,50760.37,51324.99,4482.28703,1708451999,229074498.17427993,122868,2193.45663,112129951.7620794,0
1708452000,51325.0,51544.46,51241.81,51509.89,1566.22934,1708455599,80492409.8183717,58991,881.98508,45327270.9569251,0
1708455600,51509.89,52138.31,51431.5,52101.11,2014.47671,1708459199,104358953.3969125,76383,1121.11679,58075930.2462088,0
1708459200,52101.1,52215.85,51953.46,51990.63,1711.31343,1708462799,89139122.9801434,55534,888.94369,46305429.8339749,0
1708462800,51990.62,52171.1,51901.1,52024.0,857.33006,1708466399,44623599.429034,40713,416.08821,21656091.0007199,0
1708466400,52024.01,52304.76,52006.0,52168.65,836.96284,1708469999,43679805.3990803,37411,433.21927,22608129.7814725,0
1708470000,52168.65,52517.3,52162.77,52258.82,2058.47644,1708473599,107744173.6789043,58692,1044.92985,54699819.4597459,0
1708473600,52258.82,52366.8,52120.0,52174.2,1154.86381,1708477199,60327031.3016361,42406,548.69543,28666379.8866312,0
1708477200,52174.2,52291.1,52050.01,52102.56,806.67295,1708480799,42084500.1988985,47275,408.36752,21305120.13174,0
1708480800,52102.55,52160.0,52041.1,52067.99,690.55691,1708484399,35974159.8009353,47975,340.8635,17756948.2263353,0
1708484400,52067.99,52104.03,51988.91,52001.99,717.34587,1708487999,37332839.195125,53000,355.81588,18517874.8026479,0
1708488000,52002.0,52009.99,51818.01,51949.58,882.83023,1708491599,45856201.4726658,46795,377.57433,19609055.6660044,0
1708491600,51949.57,52113.39,51817.25,51837.95,753.50661,1708495199,39139712.1657434,38012,371.80953,19314529.760935,0
1708495200,51837.95,51901.85,51672.0,51741.98,968.65139,1708498799,50155313.6723493,53228,406.44454,21047592.5876795,0
